"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","rna_10","rna_16","rna_KI01","Mmean","value"
"chr4","EviAnn","gene",43728128,43756471,".","-",".","LOC_00008101","geneID=LOC_00008101","protein_coding","Rnf41:_E3_ubiquitin-protein_ligase_NRDP1_(Mus_musculus)",4008.68,213.34,129.074,215.155,185.856333333333,7.53804404080954
"chr4","EviAnn","gene",43759992,43778442,".","+",".","LOC_00008103","geneID=LOC_00008103","protein_coding","FSBP:_Fibrinogen_silencer-binding_protein_(Homo_sapiens)",2775,1.55251,0.894922,0,0.815810666666667,-0.293693724498163
"chr4","EviAnn","gene",43847384,43862735,".","+",".","LOC_00008104","geneID=LOC_00008104","protein_coding","Gem:_GTP-binding_protein_GEM_(Mus_musculus)",1664.67,0,4.86177,0,1.62059,0.696519143425385
"chr4","EviAnn","gene",43877994,43930222,".","+",".","LOC_00008105","geneID=LOC_00008105","protein_coding","CDH17:_Cadherin-17_(Homo_sapiens)",4786,0.873187,2.51919,1.57744,1.65660566666667,0.728230228721696
"chr4","EviAnn","gene",43992961,44010799,".","-",".","LOC_00008106","geneID=LOC_00008106","protein_coding","PDP1:_[Pyruvate_dehydrogenase_[acetyl-transferring]]-phosphatase_1,_mitochondrial_(Homo_sapiens)",6530.71,0,0.553452,0,0.184484,-2.43843239579197
"chr4","EviAnn","gene",44022690,44064903,".","-",".","LOC_00008107","geneID=LOC_00008107","protein_coding","TMEM67:_Meckelin_(Homo_sapiens)",3868,0.545567,0,0,0.181855666666667,-2.45913421366614
"chr4","EviAnn","gene",44066707,44164099,".","+",".","LOC_00008108","geneID=LOC_00008108","protein_coding","RBM12B:_RNA-binding_protein_12B_(Pongo_abelii)",17861.7,4.08764,4.92418,4.08558,4.3658,2.12624604108978
"chr4","EviAnn","gene",44078004,44098103,".","-",".","LOC_00008109","geneID=LOC_00008109","protein_coding","CIBAR1:_CBY1-interacting_BAR_domain-containing_protein_1_(Homo_sapiens)",3274,611.612,429.224,539.826,526.887333333333,9.041350686706
"chr4","EviAnn","gene",44173009,44184803,".","+",".","LOC_00008111","geneID=LOC_00008111","protein_coding","Transposable_element_Tcb1_transposase_(Caenorhabditis_briggsae)",10530,1.00732,1.19168,1.73367,1.31089,0.390546630553858
"chr4","EviAnn","gene",45401037,45617671,".","+",".","LOC_00008113","geneID=LOC_00008113","protein_coding","RUNX1T1:_Protein_CBFA2T1_(Homo_sapiens)",3612.29,0,1.97964,2.06601,1.34855,0.431409013167705
"chr4","EviAnn","gene",46055159,46070864,".","-",".","LOC_00008116","geneID=LOC_00008116","protein_coding","OTUD6B:_Deubiquitinase_OTUD6B_(Gallus_gallus)",1966,1.12988,0,0,0.376626666666667,-1.40879294276915
"chr4","EviAnn","gene",46140946,46150809,".","+",".","LOC_00008118","geneID=LOC_00008118","protein_coding","C8orf88:_Uncharacterized_protein_C8orf88_(Homo_sapiens)",2010.25,0,3.29217,12.6829,5.32502333333333,2.41278784699304
"chr4","EviAnn","gene",46280090,46311410,".","+",".","LOC_00008121","geneID=LOC_00008121","protein_coding","function_unknown",29383,3.78645,2.38316,1.90506,2.69155666666667,1.42844079944554
"chr4","EviAnn","gene",46522387,46547210,".","+",".","LOC_00008122","geneID=LOC_00008122","protein_coding","CALB1:_Calbindin_(Gallus_gallus)",2210,50.6628,61.804,38.1955,50.2207666666667,5.65021214774519
"chr4","EviAnn","gene",46544544,46576190,".","-",".","LOC_00008123","geneID=LOC_00008123","protein_coding","Decr1:_2,4-dienoyl-CoA_reductase_[(3E)-enoyl-CoA-producing],_mitochondrial_(Rattus_norvegicus)",2432.56,66.0821,25.0699,40.9789,44.0436333333333,5.46086158231298
"chr4","EviAnn","gene",46575808,46625283,".","+",".","LOC_00008124","geneID=LOC_00008124","protein_coding","NBN:_Nibrin_(Gallus_gallus)",11797.9,6.45891,9.70331,7.793,7.98507333333333,2.99730565712311
"chr4","EviAnn","gene",46619853,46636126,".","-",".","LOC_00008125","geneID=LOC_00008125","protein_coding","OSGIN2:_Oxidative_stress-induced_growth_inhibitor_2_(Homo_sapiens)",4808.54,73.4242,45.7206,71.3443,63.4963666666667,5.98860213650524
"chr4","EviAnn","gene",46660326,46702708,".","-",".","LOC_00008126","geneID=LOC_00008126","protein_coding","slc7a6:_Y+L_amino_acid_transporter_2_(Danio_rerio)",1891.27,2.35903,16.1005,3.13255,7.19736,2.84746782136841
"chr4","EviAnn","gene",46690460,46691353,".","-",".","LOC_00008127","geneID=LOC_00008127","protein_coding","function_unknown",618,33.0791,10.6739,72.031,38.5946666666667,5.27032959250602
"chr4","EviAnn","gene",46708436,46755615,".","-",".","LOC_00008128","geneID=LOC_00008128","protein_coding","Ripk2:_Receptor-interacting_serine/threonine-protein_kinase_2_(Mus_musculus)",3564,4.7578,6.86005,0.715784,4.11121133333333,2.03956353432353
"chr4","EviAnn","gene",48367303,48476606,".","+",".","LOC_00008133","geneID=LOC_00008133","protein_coding","CNGB3:_Cyclic_nucleotide-gated_channel_beta-3_(Homo_sapiens)",2484,0,0,1.05156,0.35052,-1.51243133088648
"chr4","EviAnn","gene",48535802,48561217,".","+",".","LOC_00008135","geneID=LOC_00008135","protein_coding","Rmdn1:_Regulator_of_microtubule_dynamics_protein_1_(Rattus_norvegicus)",8296.99,513.831,397.236,488.652,466.573,8.86595901254228
"chr4","EviAnn","gene",48535810,48656312,".","-",".","LOC_00008136","geneID=LOC_00008136","protein_coding","WWP1:_NEDD4-like_E3_ubiquitin-protein_ligase_WWP1_(Homo_sapiens)",28492.1,474.19,378.226,489.712,447.376,8.80534405321309
"chr4","EviAnn","gene",48682196,48708730,".","-",".","LOC_00008137","geneID=LOC_00008137","protein_coding","ATP6V0D2:_V-type_proton_ATPase_subunit_d_2_(Gallus_gallus)",4206,6.49544,2.30599,5.41435,4.73859333333333,2.24445885401594
"chr4","EviAnn","gene",48956558,48982168,".","-",".","LOC_00008138","geneID=LOC_00008138","protein_coding","CA2:_Carbonic_anhydrase_2_(Gallus_gallus)",1815,69.153,162.078,14.8227,82.0179,6.35786690002077
"chr4","EviAnn","gene",49094153,49108685,".","+",".","LOC_00008141","geneID=LOC_00008141","protein_coding","CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)",8770,84.4936,72.353,48.9982,68.6149333333333,6.10045069317076
"chr4","EviAnn","gene",49116159,49139020,".","-",".","LOC_00008142","geneID=LOC_00008142","protein_coding","CA13:_Carbonic_anhydrase_13_(Homo_sapiens)",8177.31,18.5902,21.6724,9.11155,16.45805,4.04072150586047
"chr4","EviAnn","gene",49147839,49156743,".","+",".","LOC_00008143","geneID=LOC_00008143","protein_coding","Rbis:_Ribosomal_biogenesis_factor_(Mus_musculus)",2703.37,88.616,191.535,125.51,135.220333333333,7.07916829844726
"chr4","EviAnn","gene",50924304,50946657,".","+",".","LOC_00008147","geneID=LOC_00008147","protein_coding","SNX16:_Sorting_nexin-16_(Pongo_abelii)",3645.78,0,0.258485,0,0.0861616666666667,-3.53681003287683
"chr4","EviAnn","gene",51179929,51205892,".","-",".","LOC_00008154","geneID=LOC_00008154","protein_coding","FABP5:_Fatty_acid-binding_protein_5_(Pygoscelis_papua)",2121,3.11753,0,1.24839,1.45530666666667,0.541323194275279
"chr4","EviAnn","gene",51227626,51242921,".","-",".","LOC_00008155","geneID=LOC_00008155","protein_coding","MRPL53:_Large_ribosomal_subunit_protein_mL53_(Bos_taurus)",10423,0.784347,1.13224,0,0.638862333333333,-0.646423012564586
"chr4","EviAnn","gene",51392937,51462300,".","+",".","LOC_00008156","geneID=LOC_00008156","protein_coding","Pag1:_Phosphoprotein_associated_with_glycosphingolipid-enriched_microdomains_1_(Rattus_norvegicus)",2807,0,1.76801,2.76654,1.51151666666667,0.595996886861606
"chr4","EviAnn","gene",51498580,51570619,".","+",".","LOC_00008157","geneID=LOC_00008157","protein_coding","ZNF704:_Zinc_finger_protein_704_(Homo_sapiens)",15009,1.35404,6.62677,0.979679,2.98682966666667,1.57861496578322
"chr4","EviAnn","gene",51616072,51655727,".","-",".","LOC_00008159","geneID=LOC_00008159","protein_coding","ZBTB10:_Zinc_finger_and_BTB_domain-containing_protein_10_(Homo_sapiens)",7677.5,3.48385,2.5901,4.38649,3.48681333333333,1.80190913145538
"chr4","EviAnn","gene",51659619,51850532,".","+",".","LOC_00008161","geneID=LOC_00008161","protein_coding","TPD52:_Tumor_protein_D52_(Oryctolagus_cuniculus)",41196,216.568,106.392,126.559,149.839666666667,7.2272757850524
"chr4","EviAnn","gene",51687140,51714768,".","-",".","LOC_00008160","geneID=LOC_00008160","protein_coding","F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)",15321,35.7785,22.5165,29.1045,29.1331666666667,4.86459062046435
"chr4","EviAnn","gene",51889375,51928129,".","+",".","LOC_00008162","geneID=LOC_00008162","protein_coding","HEY1:_Hairy/enhancer-of-split_related_with_YRPW_motif_protein_1_(Homo_sapiens)",3735,0.566036,0.652969,0,0.406335,-1.29925845724013
"chr4","EviAnn","gene",52064637,52070847,".","-",".","LOC_00008164","geneID=LOC_00008164","protein_coding","function_unknown",2415,203.664,348.457,121.832,224.651,7.81154167358947
"chr4","EviAnn","gene",52074777,52128392,".","+",".","LOC_00008165","geneID=LOC_00008165","protein_coding","function_unknown",17236,11.5876,10.4558,12.2344,11.4259333333333,3.51424011228227
"chr4","EviAnn","gene",52546849,52575543,".","-",".","LOC_00008169","geneID=LOC_00008169","protein_coding","function_unknown",3188,0,3.08751,0,1.02917,0.0414813086650806
"chr4","EviAnn","gene",53676838,53912136,".","-",".","LOC_00008171","geneID=LOC_00008171","protein_coding","ZFHX4:_Zinc_finger_homeobox_protein_4_(Gallus_gallus)",7730.03,6.91916,5.45642,4.53642,5.63733333333333,2.49501287599944
"chr4","EviAnn","gene",55470310,55575809,".","+",".","LOC_00008176","geneID=LOC_00008176","protein_coding","JPH1:_Junctophilin-1_(Homo_sapiens)",5979.47,15.5965,20.8334,9.09876,15.17622,3.92374059273255
"chr4","EviAnn","gene",55643881,55665253,".","-",".","LOC_00008179","geneID=LOC_00008179","protein_coding","function_unknown",13493,20.4418,12.5647,19.6172,17.5412333333333,4.13267828288265
"chr4","EviAnn","gene",55665442,55679209,".","-",".","LOC_00008181","geneID=LOC_00008181","protein_coding","HAUS3:_HAUS_augmin-like_complex_subunit_3_(Homo_sapiens)",5698.66,10.9277,2.10209,8.6389,7.22289666666667,2.8525775308174
"chr4","EviAnn","gene",56013318,56061594,".","-",".","LOC_00008185","geneID=LOC_00008185","protein_coding","Rdh10:_Retinol_dehydrogenase_10_(Mus_musculus)",6168.06,7.38443,5.60097,6.85202,6.61247333333333,2.7251899991631
"chr4","EviAnn","gene",56025747,56078200,".","+",".","LOC_00008186","geneID=LOC_00008186","protein_coding","RPL7:_Large_ribosomal_subunit_protein_uL30_(Gallus_gallus)",1114.5,49.9237,27.2138,53.2409,43.4594666666667,5.44159856480287
"chr4","EviAnn","gene",56072745,56089586,".","-",".","LOC_00008187","geneID=LOC_00008187","protein_coding","C8orf89:_Putative_uncharacterized_protein_C8orf89_(Homo_sapiens)",3307,296.131,274.711,273.45,281.430666666667,8.13663573312294
"chr4","EviAnn","gene",56162473,56180173,".","-",".","LOC_00008189","geneID=LOC_00008189","protein_coding","TERF1:_Telomeric_repeat-binding_factor_1_(Homo_sapiens)",2117,1.04133,1.46695,0,0.836093333333333,-0.258264095139487
"chr4","EviAnn","gene",57477176,57491011,".","+",".","LOC_00008195","geneID=LOC_00008195","protein_coding","lactb2:_Endoribonuclease_LACTB2_(Xenopus_tropicalis)",2150.77,32.7488,13.7675,25.8752,24.1305,4.59278590435097
"chr4","EviAnn","gene",57491915,57513020,".","+",".","LOC_00008196","geneID=LOC_00008196","protein_coding","tram1l1:_Translocating_chain-associated_membrane_protein_1-like_1_(Xenopus_laevis)",4938,0.422616,1.46318,0.509009,0.798268333333333,-0.325054313229974
"chr4","EviAnn","gene",57625608,57816286,".","+",".","LOC_00008198","geneID=LOC_00008198","protein_coding","NCOA2:_Nuclear_receptor_coactivator_2_(Homo_sapiens)",7808.82,1.50523,1.35166,2.69432,1.85040333333333,0.887839769973003
"chr4","EviAnn","gene",57670407,57721044,".","-",".","LOC_00008197","geneID=LOC_00008197","protein_coding","CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)",43336,316.67,203.716,250.833,257.073,8.00603428375956
"chr4","EviAnn","gene",58026199,58155173,".","-",".","LOC_00008202","geneID=LOC_00008202","protein_coding","SULF1:_Extracellular_sulfatase_Sulf-1_(Coturnix_coturnix)",5306,8.23654,10.4117,1.41736,6.68853333333333,2.74168989028325
"chr4","EviAnn","gene",59027713,59110283,".","+",".","LOC_00008205","geneID=LOC_00008205","protein_coding","CPA6:_Carboxypeptidase_A6_(Homo_sapiens)",2047,7.56413,15.1095,17.1276,13.2670766666667,3.72977861004771
"chr4","EviAnn","gene",59122352,59225427,".","+",".","LOC_00008206","geneID=LOC_00008206","protein_coding","ARFGEF1:_Brefeldin_A-inhibited_guanine_nucleotide-exchange_protein_1_(Homo_sapiens)",26026,103.616,67.731,97.3318,89.5596,6.48477617958407
"chr4","EviAnn","gene",59225990,59323384,".","-",".","LOC_00008207","geneID=LOC_00008207","protein_coding","CSPP1:_Centrosome_and_spindle_pole-associated_protein_1_(Homo_sapiens)",5624,32.8644,23.4422,29.36,28.5555333333333,4.83569842503125
"chr4","EviAnn","gene",59413865,59455445,".","+",".","LOC_00008210","geneID=LOC_00008210","protein_coding","TCF24:_Transcription_factor_24_(Homo_sapiens)",9573.42,148.192,83.2843,184.922,138.799433333333,7.11685786771353
"chr4","EviAnn","gene",59448252,59473523,".","-",".","LOC_00008211","geneID=LOC_00008211","protein_coding","MCMDC2:_Minichromosome_maintenance_domain-containing_protein_2_(Homo_sapiens)",2300,23.7754,24.1083,17.1434,21.6757,4.43800667980952
"chr4","EviAnn","gene",59476507,59554808,".","-",".","LOC_00008212","geneID=LOC_00008212","protein_coding","SGK3:_Serine/threonine-protein_kinase_Sgk3_(Pongo_abelii)",6451,2.5639,6.68912,1.93129,3.72810333333333,1.89844184830268
"chr4","EviAnn","gene",59568948,59603517,".","+",".","LOC_00008214","geneID=LOC_00008214","protein_coding","Vcpip1:_Deubiquitinating_protein_VCPIP1_(Rattus_norvegicus)",32261.5,58.5605,41.5484,34.2353,44.7814,5.48482772672872
"chr4","EviAnn","gene",59603626,59661156,".","+",".","LOC_00008215","geneID=LOC_00008215","protein_coding","MYBL1:_Myb-related_protein_A_(Gallus_gallus)",7770.68,2.91164,1.66129,1.15612,1.90968333333333,0.933333428153382
"chr4","EviAnn","gene",59706428,59736145,".","-",".","LOC_00008217","geneID=LOC_00008217","protein_coding","adhfe1:_Hydroxyacid-oxoacid_transhydrogenase,_mitochondrial_(Xenopus_laevis)",2321.47,4.70718,3.39501,0,2.70073,1.43334941654754
"chr4","EviAnn","gene",59739840,59741585,".","-",".","LOC_00008218","geneID=LOC_00008218","protein_coding","Rrs1:_Ribosome_biogenesis_regulatory_protein_homolog_(Mus_musculus)",1454,11.1131,14.5537,9.51424,11.7270133333333,3.55176372565901
"chr4","EviAnn","gene",59861669,59862196,".","+",".","LOC_00008219","geneID=LOC_00008219","protein_coding","crh:_Corticoliberin_(Xenopus_laevis)",528,0,67.1543,0,22.3847666666667,4.48444537490692
"chr4","EviAnn","gene",59866373,59927952,".","-",".","LOC_00008220","geneID=LOC_00008220","protein_coding","Trim55:_Tripartite_motif-containing_55_(Mus_musculus)",1482,1.55318,1.78654,0.433925,1.25788166666667,0.33099620922596
"chr4","EviAnn","gene",60073736,60106615,".","-",".","LOC_00008224","geneID=LOC_00008224","protein_coding","MTFR1:_Mitochondrial_fission_regulator_1_(Gallus_gallus)",4689.05,13.3531,4.55139,6.32992,8.07813666666667,3.01402255389621
"chr4","EviAnn","gene",60594239,60762124,".","+",".","LOC_00008226","geneID=LOC_00008226","protein_coding","CYP7B1:_Cytochrome_P450_7B1_(Homo_sapiens)",5598,1.04302,1.91184,3.81646,2.25710666666667,1.17447459922747
"chr4","EviAnn","gene",60777720,60778748,".","-",".","LOC_00008227","geneID=LOC_00008227","protein_coding","BHLHE22:_Class_E_basic_helix-loop-helix_protein_22_(Gallus_gallus)",1029,0,0,8.5719,2.8573,1.51465251887501
"chr4","EviAnn","gene",61441239,61484820,".","-",".","LOC_00008229","geneID=LOC_00008229","protein_coding","Ythdf3:_YTH_domain-containing_family_protein_3_(Mus_musculus)",15479.4,4.70149,4.14639,3.01097,3.95295,1.98292970693889
"chr4","EviAnn","gene",62103363,62302146,".","+",".","LOC_00008234","geneID=LOC_00008234","protein_coding","ASPH:_Aspartyl/asparaginyl_beta-hydroxylase_(Homo_sapiens)",14276,5.90997,33.8511,0,13.25369,3.72832217558659
"chr4","EviAnn","gene",62200937,62210073,".","-",".","LOC_00008237","geneID=LOC_00008237","protein_coding","LINE-1_reverse_transcriptase_homolog_(Nycticebus_coucang)",3056,46.256,13.7998,22.3801,27.4786333333333,4.78023834750578
"chr4","EviAnn","gene",62640970,62849565,".","-",".","LOC_00008239","geneID=LOC_00008239","protein_coding","CHD7:_Chromodomain-helicase-DNA-binding_protein_7_(Gallus_gallus)",12194,3.67746,2.70278,1.20926,2.52983333333333,1.33904234259004
"chr4","EviAnn","gene",62858110,62908722,".","-",".","LOC_00008240","geneID=LOC_00008240","protein_coding","RAB2A:_Ras-related_protein_Rab-2A_(Gallus_gallus)",10155,3.38023,3.13221,3.2156,3.24268,1.69718666018236
"chr4","EviAnn","gene",63555806,63841926,".","+",".","LOC_00008244","geneID=LOC_00008244","protein_coding","TOX:_Thymocyte_selection-associated_high_mobility_group_box_protein_TOX_(Homo_sapiens)",2536.33,0,0,0.420655,0.140218333333333,-2.83425310302886
"chr4","EviAnn","gene",63900832,63958449,".","+",".","LOC_00008245","geneID=LOC_00008245","protein_coding","Nsmaf:_Protein_FAN_(Mus_musculus)",5234,175.436,213.5,175.383,188.106333333333,7.55540461340868
"chr4","EviAnn","gene",63956712,63981072,".","-",".","LOC_00008246","geneID=LOC_00008246","protein_coding","SDCBP:_Syntenin-1_(Homo_sapiens)",1994,68.965,20.4979,60.1141,49.859,5.63978204250802
"chr4","EviAnn","gene",64986859,65037949,".","+",".","LOC_00008251","geneID=LOC_00008251","protein_coding","Sdr16c5:_Epidermal_retinol_dehydrogenase_2_(Mus_musculus)",2475.91,18.4343,5.50557,18.8781,14.2726566666667,3.83518199333764
"chr4","EviAnn","gene",65051260,65068512,".","-",".","LOC_00008252","geneID=LOC_00008252","protein_coding","CHCHD7:_Coiled-coil-helix-coiled-coil-helix_domain-containing_protein_7_(Homo_sapiens)",4424.54,4.22305,3.01937,4.08983,3.77741666666667,1.91739992854355
"chr4","EviAnn","gene",65097608,65107234,".","+",".","LOC_00008253","geneID=LOC_00008253","protein_coding","PLAG1:_Zinc_finger_protein_PLAG1_(Gallus_gallus)",8851,5.56026,1.87265,15.6827,7.70520333333333,2.94583302865713
"chr4","EviAnn","gene",65111743,65112798,".","+",".","LOC_00008254","geneID=LOC_00008254","protein_coding","MOS:_Serine/threonine-protein_kinase_mos_(Gallus_gallus)",1056,2.31731,0,11.0762,4.46450333333333,2.15849968746471
"chr4","EviAnn","gene",65127789,65131317,".","+",".","LOC_00008255","geneID=LOC_00008255","protein_coding","rps20:_Small_ribosomal_subunit_protein_uS10_(Xenopus_laevis)",594,9.91565,0,41.0306,16.9820833333333,4.08594155202915
"chr4","EviAnn","gene",65141044,65177276,".","+",".","LOC_00008256","geneID=LOC_00008256","protein_coding","Kif20a:_Kinesin-like_protein_KIF20A_(Mus_musculus)",2593,0.835051,3.85015,0,1.56173366666667,0.643148441610023
"chr4","EviAnn","gene",65181301,65249742,".","-",".","LOC_00008257","geneID=LOC_00008257","protein_coding","Lyn:_Tyrosine-protein_kinase_Lyn_(Rattus_norvegicus)",4550,12.4261,6.90395,9.97595,9.76866666666667,3.28816166100039
"chr4","EviAnn","gene",65275370,65304788,".","-",".","LOC_00008258","geneID=LOC_00008258","protein_coding","TGS1:_Trimethylguanosine_synthase_(Homo_sapiens)",6492,0.636804,0,0,0.212268,-2.23604119760064
"chr4","EviAnn","gene",66032002,66056330,".","+",".","LOC_00008265","geneID=LOC_00008265","protein_coding","F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)",9478,1.98771,3.13345,4.43148,3.18421333333333,1.67093699562773
"chr4","EviAnn","gene",66082548,66327011,".","-",".","LOC_00008266","geneID=LOC_00008266","protein_coding","XKR4:_XK-related_protein_4_(Homo_sapiens)",2562,0,0.887386,1.12851,0.671965333333333,-0.573541288547252
"chr4","EviAnn","gene",66682172,66685126,".","-",".","LOC_00008268","geneID=LOC_00008268","protein_coding","Sox17:_Transcription_factor_SOX-17_(Mus_musculus)",1309,19.7266,2.06132,0,7.26264,2.86049406923785
"chr4","EviAnn","gene",66872867,66894828,".","+",".","LOC_00008270","geneID=LOC_00008270","protein_coding","LYPLA1:_Acyl-protein_thioesterase_1_(Bos_taurus)",4225,8.45403,9.60116,8.76651,8.94056666666667,3.16036627450493
"chr4","EviAnn","gene",66897460,66946573,".","+",".","LOC_00008271","geneID=LOC_00008271","protein_coding","TCEA1:_Transcription_elongation_factor_A_protein_1_(Homo_sapiens)",2711,5.57174,1.83518,11.4862,6.29770666666667,2.65482656147446
"chr4","EviAnn","gene",66957522,66969515,".","-",".","LOC_00008272","geneID=LOC_00008272","protein_coding","RGS20:_Regulator_of_G-protein_signaling_20_(Gallus_gallus)",1459,4.744,10.9126,1.8954,5.85066666666667,2.54860102501995
"chr4","EviAnn","gene",67614965,67712622,".","+",".","LOC_00008277","geneID=LOC_00008277","protein_coding","RB1CC1:_RB1-inducible_coiled-coil_protein_1_(Homo_sapiens)",4321,0.971478,1.68142,2.43786,1.69691933333333,0.762917984935942
"chr4","EviAnn","gene",67910852,67956439,".","+",".","LOC_00008279","geneID=LOC_00008279","protein_coding","function_unknown",1406,67.7253,105.276,148.552,107.184433333333,6.74395158452995
"chr4","EviAnn","gene",68149817,68344662,".","+",".","LOC_00008280","geneID=LOC_00008280","protein_coding","ST18:_Suppression_of_tumorigenicity_18_protein_(Homo_sapiens)",3054,0.700633,0,0,0.233544333333333,-2.09823165454942
"chr4","EviAnn","gene",68365658,68424339,".","-",".","LOC_00008283","geneID=LOC_00008283","protein_coding","function_unknown",21472,651.029,397.866,413.529,487.474666666667,8.92918343586973
"chr4","EviAnn","gene",68402053,68478816,".","+",".","LOC_00008284","geneID=LOC_00008284","protein_coding","PCMTD1:_Protein-L-isoaspartate_O-methyltransferase_domain-containing_protein_1_(Gallus_gallus)",3903.43,83.2362,27.2206,47.9292,52.7953333333333,5.72233850791048
"chr4","EviAnn","gene",68402109,68464310,".","+",".","LOC_00008285","geneID=LOC_00008285","protein_coding","function_unknown",15612,0.320769,3.38614,0,1.23563633333333,0.305254198503851
"chr4","EviAnn","gene",68402119,68464310,".","+",".","LOC_00008282","geneID=LOC_00008282","protein_coding","function_unknown",56339,3.01599,0.956149,1.19818,1.72343966666667,0.785290794426473
"chr4","EviAnn","gene",70660232,70678732,".","-",".","LOC_00008294","geneID=LOC_00008294","protein_coding","mcm4-b:_DNA_replication_licensing_factor_mcm4-B_(Xenopus_laevis)",6521.54,68.6032,29.544,42.9254,47.0242,5.55533149497076
"chr4","EviAnn","gene",70679283,70841973,".","+",".","LOC_00008295","geneID=LOC_00008295","protein_coding","PRKDC:_DNA-dependent_protein_kinase_catalytic_subunit_(Gallus_gallus)",12881.8,26.5033,7.78904,9.15039,14.48091,3.85608036106785
"chr4","EviAnn","gene",70855296,70859377,".","+",".","LOC_00008296","geneID=LOC_00008296","protein_coding","Cebpd:_CCAAT/enhancer-binding_protein_delta_(Rattus_norvegicus)",2481.29,139.563,37.4466,107.59,94.8665333333333,6.56782732323553
"chr4","EviAnn","gene",70904121,70927358,".","+",".","LOC_00008298","geneID=LOC_00008298","protein_coding","function_unknown",7800,10.4458,9.68389,15.5711,11.9002633333333,3.57292159325173
"chr4","EviAnn","gene",71161676,71222163,".","+",".","LOC_00008299","geneID=LOC_00008299","protein_coding","SELENOI:_Ethanolaminephosphotransferase_1_(Homo_sapiens)",1273,7.41179,8.43337,24.6397,13.4949533333333,3.75434808274178
"chr4","EviAnn","gene",72759027,72808820,".","+",".","LOC_00008308","geneID=LOC_00008308","protein_coding","jockey\pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_funebris)",4615,66.5289,36.2856,43.1549,48.6564666666667,5.60455965339718
"chr4","EviAnn","gene",72815804,72920680,".","+",".","LOC_00008309","geneID=LOC_00008309","protein_coding","GAREM1:_GRB2-associated_and_regulator_of_MAPK_protein_1_(Homo_sapiens)",2596.33,0,0.940288,0,0.313429333333333,-1.67378788931367
"chr4","EviAnn","gene",73048566,73133337,".","+",".","LOC_00008313","geneID=LOC_00008313","protein_coding","TRAPPC8:_Trafficking_protein_particle_complex_subunit_8_(Homo_sapiens)",5482,3.03337,0.458866,0.478903,1.323713,0.404590359033452
"chr4","EviAnn","gene",73135563,73137932,".","-",".","LOC_00008314","geneID=LOC_00008314","protein_coding","CATSPERD:_Cation_channel_sperm-associated_auxiliary_subunit_delta_(Macaca_fascicularis)",2370,76.3995,89.1021,65.2738,76.9251333333333,6.2653831340529
"chr4","EviAnn","gene",73155907,73158288,".","-",".","LOC_00008315","geneID=LOC_00008315","protein_coding","CATSPERD:_Cation_channel_sperm-associated_auxiliary_subunit_delta_(Macaca_fascicularis)",2382,3.66175,2.10989,0,1.92388,0.944018815322097
"chr4","EviAnn","gene",73371410,73411006,".","-",".","LOC_00008319","geneID=LOC_00008319","protein_coding","DSG2:_Desmoglein-2_(Homo_sapiens)",3261,0,0.753563,0,0.251187666666667,-1.9931624653539
"chr4","EviAnn","gene",73614917,73653162,".","+",".","LOC_00008322","geneID=LOC_00008322","protein_coding","DSC1:_Desmocollin-1_(Homo_sapiens)",5139,0,0.871551,0,0.290517,-1.78330550751195
"chr4","EviAnn","gene",76821064,76937660,".","+",".","LOC_00008326","geneID=LOC_00008326","protein_coding","Kctd1:_BTB/POZ_domain-containing_protein_KCTD1_(Mus_musculus)",4534,1.38576,0,0,0.46192,-1.11428508220083
"chr4","EviAnn","gene",76973609,77065611,".","-",".","LOC_00008327","geneID=LOC_00008327","protein_coding","TAF4B:_Transcription_initiation_factor_TFIID_subunit_4B_(Homo_sapiens)",7293.62,1.21732,4.09449,2.18998,2.50059666666667,1.32227237702109
"chr4","EviAnn","gene",77065675,77125283,".","+",".","LOC_00008328","geneID=LOC_00008328","protein_coding","Ss18:_Protein_SSXT_(Mus_musculus)",20629.6,81.9787,58.3109,78.6304,72.9733333333333,6.18929745071161
"chr4","EviAnn","gene",77138089,77147252,".","-",".","LOC_00008329","geneID=LOC_00008329","protein_coding","function_unknown",708,54.9433,53.3487,9.27391,39.1886366666667,5.29236347878815
"chr4","EviAnn","gene",77562183,77971774,".","+",".","LOC_00008332","geneID=LOC_00008332","protein_coding","ZNF521:_Zinc_finger_protein_521_(Homo_sapiens)",4440.57,0,1.3769,0,0.458966666666667,-1.12353871593447
"chr4","EviAnn","gene",78300144,78394024,".","+",".","LOC_00008335","geneID=LOC_00008335","protein_coding","OSBPL1A:_Oxysterol-binding_protein-related_protein_1_(Homo_sapiens)",3670.83,18.4471,0.62727,10.6597,9.91135666666667,3.30908254704964
"chr4","EviAnn","gene",78394607,78413224,".","-",".","LOC_00008336","geneID=LOC_00008336","protein_coding","CABYR:_Calcium-binding_tyrosine_phosphorylation-regulated_protein_(Vulpes_vulpes)",1471,0,1.77288,3.59651,1.78979666666667,0.839795696621263
